indicator_id,feature_id,feature_name,feature_channel,feature_dtype,source_output,state_space,default_timeframe,default_agg,missing_policy,enabled_default,notes_phase5
sma_20,sma_20_value,Simple Moving Average (20) value,value,float32,sma_20,[unbounded_real],1h,last,ffill,True,Core trend level; used as base feature in most models.
ema_50,ema_50_value,Exponential Moving Average (50) value,value,float32,ema_50,[unbounded_real],1h,last,ffill,True,Medium-term trend benchmark.
price_location_20,price_location_20_value,Price location vs 20-bar range (0–1),value,float32,price_location_20,"[0,1]",1h,last,ffill,True,Normalized range location for top/bottom context.
rsi_14,rsi_14_value,RSI(14) value,value,float32,rsi,"[0,100]",1h,last,ffill,True,Core bounded momentum oscillator.
rsi_14,rsi_14_state,RSI(14) state (oversold/neutral/overbought),state,string,rsi_state,"{""values"":[""oversold"",""neutral"",""overbought""]}",1h,last,ffill,True,Discretized RSI states; thresholds configurable in admin.
rsi_14,rsi_14_cross_oversold_event,RSI(14) crossing into oversold,event,bool,rsi_cross,"{""values"":[0,1]}",1h,any,zero,True,Event when RSI crosses below oversold threshold; used for entry/exit logic.
rsi_14,rsi_14_cross_overbought_event,RSI(14) crossing into overbought,event,bool,rsi_cross,"{""values"":[0,1]}",1h,any,zero,True,Event when RSI crosses above overbought threshold.
roc_10,roc_10_value,Rate of Change (10) value,value,float32,roc_10,[unbounded_real],1h,last,ffill,True,Short-term normalized momentum magnitude.
atr_14,atr_14_value,ATR(14) value,value,float32,atr_14,[>=0],1h,last,ffill,True,Core volatility measure for sizing/stops.
realized_vol_20,realized_vol_20_value,Realized volatility (20) value,value,float32,realized_vol_20,[>=0],1d,last,ffill,True,"Realized volatility over 20-bar window, typically daily."
volume,volume_value,Raw volume per bar,value,float32,volume,[>=0],1h,last,zero,True,Baseline participation metric; zero if missing or no trading.
vol_sma_20,vol_sma_20_value,Volume SMA(20) value,value,float32,vol_sma_20,[>=0],1h,last,ffill,True,Smoothed volume context.
obv,obv_value,On-Balance Volume value,value,float32,obv,[unbounded_real],1h,last,ffill,True,Cumulative signed volume; useful with trend context.
vwap_intraday,vwap_intraday_value,VWAP (intraday) value,value,float32,vwap_intraday,[unbounded_real],5m,last,ffill,True,Intraday execution benchmark.
swing_high_5,swing_high_5_event,Swing High (5) event flag,event,bool,swing_high_5,"{""values"":[0,1]}",1h,any,zero,True,Marks local swing highs; used in structure and swing-based logic.
swing_low_5,swing_low_5_event,Swing Low (5) event flag,event,bool,swing_low_5,"{""values"":[0,1]}",1h,any,zero,True,Marks local swing lows.
range_high_20,range_high_20_value,20-bar range high value,value,float32,range_high_20,[unbounded_real],1h,last,ffill,True,Rolling resistance reference.
range_low_20,range_low_20_value,20-bar range low value,value,float32,range_low_20,[unbounded_real],1h,last,ffill,True,Rolling support reference.
sr_zone_v1,sr_zone_v1_distance_to_nearest_support_value,Distance to nearest strong support zone,value,float32,sr_zone_distance_support,[>=0 or sentinel],1h,last,sentinel,True,"Distance in price units or %; sentinel (e.g., large number) if no zone exists."
