asset_type,file_name,new_rel_path,notion_target_type,notion_target_name,notion_parent_page
table,Backtest_Results_Table.csv,sync\ifns\Backtest_Results_Table.csv,db,Backtest_Results,IFNS – Runtime & Telemetry
table,calendar_gaps_2025.json,sync\ifns\calendar_gaps_2025.json,file,Runtime_Schemas,IFNS – Runtime & Telemetry
table,clip_events_schema_v1.json,sync\ifns\clip_events_schema_v1.json,file,Runtime_Schemas,IFNS – Runtime & Telemetry
table,clip_events_sample.ndjson,sync\ifns\examples\clip_events_sample.ndjson,file,Runtime_Schemas,IFNS – Runtime & Telemetry
table,feature_view_D1_demo.csv,sync\ifns\examples\feature_view_D1_demo.csv,db,Feature_Views,IFNS – Feature Views & QC
table,feature_view_H1_demo.csv,sync\ifns\examples\feature_view_H1_demo.csv,db,Feature_Views,IFNS – Feature Views & QC
table,indicator_feature_schema_d1_demo.csv,sync\ifns\examples\indicator_feature_schema_d1_demo.csv,db,Feature_Schema,IFNS – Feature Schema & Policy
table,indicator_feature_schema_h1_demo.csv,sync\ifns\examples\indicator_feature_schema_h1_demo.csv,db,Feature_Schema,IFNS – Feature Schema & Policy
table,training_manifest_D1_demo.json,sync\ifns\examples\training_manifest_D1_demo.json,file,Runtime_Schemas,IFNS – Runtime & Telemetry
table,training_manifest_H1_demo.json,sync\ifns\examples\training_manifest_H1_demo.json,file,Runtime_Schemas,IFNS – Runtime & Telemetry
table,Execution_API_Log.csv,sync\ifns\Execution_API_Log.csv,db,Execution_API_Log,IFNS – Runtime & Telemetry
table,Experiment_Logs.csv,sync\ifns\Experiment_Logs.csv,db,Experiment_Logs,IFNS – Runtime & Telemetry
table,feature_family_map.csv,sync\ifns\feature_family_map.csv,db,Feature_Family_Map,IFNS – Feature Schema & Policy
table,feature_policy_matrix.csv,sync\ifns\feature_policy_matrix.csv,db,Feature_Policy_Matrix,IFNS – Feature Schema & Policy
table,indicator_feature_schema_h1_v1_with_family.csv,sync\ifns\indicator_feature_schema_h1_v1_with_family.csv,db,Feature_Schema,IFNS – Feature Schema & Policy
table,indicator_feature_schema_v1.csv,sync\ifns\indicator_feature_schema_v1.csv,db,Feature_Schema,IFNS – Feature Schema & Policy
table,indicator_feature_schema_v1_with_family.csv,sync\ifns\indicator_feature_schema_v1_with_family.csv,db,Feature_Schema,IFNS – Feature Schema & Policy
table,indicators_catalog_L1_phase3.csv,sync\ifns\indicators_catalog_L1_phase3.csv,db,Indicators_L1_Catalog,IFNS – Indicators Library
table,indicators_catalog_L2L3_phase4.csv,sync\ifns\indicators_catalog_L2L3_phase4.csv,db,Indicators_L2L3_Catalog,IFNS – Indicators Library
table,indicators_universe_catalog_phase2.csv,sync\ifns\indicators_universe_catalog_phase2.csv,db,Indicators_Universe,IFNS – Indicators Library
table,lint_report.csv,sync\ifns\lint_report.csv,db,QC_Lint_Report,IFNS – Feature Views & QC
table,lint_report.json,sync\ifns\lint_report.json,db,QC_Lint_Report,IFNS – Feature Views & QC
table,Model_Registry.csv,sync\ifns\Model_Registry.csv,db,Model_Registry,IFNS – Runtime & Telemetry
table,Portfolio_Matrix.csv,sync\ifns\Portfolio_Matrix.csv,db,Portfolio_Matrix,IFNS – Runtime & Telemetry
table,qc_weekly_example_v1.ndjson,sync\ifns\qc_weekly_example_v1.ndjson,file,Runtime_Schemas,IFNS – Runtime & Telemetry
table,qc_weekly_schema_v1.json,sync\ifns\qc_weekly_schema_v1.json,file,Runtime_Schemas,IFNS – Runtime & Telemetry
table,RiskAPI_Alerts.csv,sync\ifns\RiskAPI_Alerts.csv,db,RiskAPI_Alerts,IFNS – Runtime & Telemetry
table,System_Layers_Tracker.csv,sync\ifns\System_Layers_Tracker.csv,db,System_Layers_Tracker,IFNS – Runtime & Telemetry
table,test_assertions_manifest.json,sync\ifns\test_assertions_manifest.json,file,Runtime_Schemas,IFNS – Runtime & Telemetry
table,training_manifest_D1_v1_1.json,sync\ifns\training_manifest_D1_v1_1.json,file,Runtime_Schemas,IFNS – Runtime & Telemetry
table,training_manifest_H1_v1_0.json,sync\ifns\training_manifest_H1_v1_0.json,file,Runtime_Schemas,IFNS – Runtime & Telemetry
doc,Conceptual_Framework.md,docs\ifns_legacy\Conceptual_Framework.md,page,Conceptual & Operational Frameworks,IFNS – Legacy Deep Spec
doc,Repo_Inventory_and_Git-Notion_Crosswalk_autopilot-notion-ops_2025_11_19.md,docs\ifns_legacy\crosswalks\Repo_Inventory_and_Git-Notion_Crosswalk_autopilot-notion-ops_2025_11_19.md,page,SoT & Migration Notes,IFNS – Legacy Deep Spec
doc,Dashboard_Analytics.md,docs\ifns_legacy\Dashboard_Analytics.md,page,UI & Dashboard Drafts,IFNS – Legacy Deep Spec
doc,Phase_0_Autopilot_Hub_Inventory.md,docs\ifns_legacy\handover\Phase_0_Autopilot_Hub_Inventory.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase_1_IFNS_14-Step_Spine_and_Hub_Structure.md,docs\ifns_legacy\handover\Phase_1_IFNS_14-Step_Spine_and_Hub_Structure.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase_2_Attach_UI_Master_V2_to_14-Step_Spine.md,docs\ifns_legacy\handover\Phase_2_Attach_UI_Master_V2_to_14-Step_Spine.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase_3_Telemetry_QC_Runtime_and_Calendar_Wiring.md,docs\ifns_legacy\handover\Phase_3_Telemetry_QC_Runtime_and_Calendar_Wiring.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase_4_Catalog_and_Feature_Universe_Surfaces.md,docs\ifns_legacy\handover\Phase_4_Catalog_and_Feature_Universe_Surfaces.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase_5_Living_SoT_Rules_and_V1_Crosswalk.md,docs\ifns_legacy\handover\Phase_5_Living_SoT_Rules_and_V1_Crosswalk.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,IFNS_UI_Drafts_and_Working_Notes_v2.md,docs\ifns_legacy\IFNS_UI_Drafts_and_Working_Notes_v2.md,page,UI & Dashboard Drafts,IFNS – Legacy Deep Spec
